"Timestamp","Gender","Major","How many friends would you say you were extremely close to before quarantine happened?"," Did you reconsider your friendship with your current friends and (re)consider ending the ties with some?","Have you lost any friends since the lockdown?","How much do you use social media in quarantine to stay in touch with your friends?","Did you actively try to interact with new people through social media in order to make new friends during the quarantine?","If yes then which applications did you use from the following (Check as many as you want): ","Have you made any new friends during quarantine from Habib?","Did your mental health suffer during the pandemic? And did you take part in online therapy for it?"
"2020/06/17 3:15:32 pm GMT+5","Male","CS","0-2","No","No","3","Yes","Instagram","No","Yea but no Therapy"
"2020/06/17 3:15:58 pm GMT+5","Female","CS","6-9","No","No","9","Yes","Instagram;Facebook","No","Yea but no Therapy"
"2020/06/17 3:16:58 pm GMT+5","Female","CND","6-9","No","No","6","Yes","Tinder/Bumble/Grindr/Any other Dating App","No","Yea but no Therapy"
"2020/06/17 3:19:54 pm GMT+5","Female","CND","3-5","No","No","10","Yes","Twitter","No","Yea but no Therapy"
"2020/06/17 3:20:26 pm GMT+5","Female","CND","3-5","No","No","3","No","","No","Yea but no Therapy"
"2020/06/17 3:21:23 pm GMT+5","Female","SDP","6-9","No","Yes","4","No","","No","Yes"
"2020/06/17 3:24:18 pm GMT+5","Female","CS","0-2","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 3:29:04 pm GMT+5","Male","EE","3-5","Yes","No","5","Yes","Facebook;Snapchat","Yes","Yea but no Therapy"
"2020/06/17 3:34:15 pm GMT+5","Female","EE","3-5","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:34:33 pm GMT+5","Male","EE","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 3:37:10 pm GMT+5","Female","CS","0-2","Yes","Yes","6","No","Instagram;Facebook;Twitter","No","No"
"2020/06/17 3:41:11 pm GMT+5","Male","CS","0-2","No","No","4","No","","No","Yea but no Therapy"
"2020/06/17 3:42:08 pm GMT+5","Male","CS","0-2","No","No","10","Yes","Instagram;Facebook;PUBG","Yes","No"
"2020/06/17 3:43:38 pm GMT+5","Female","CS","3-5","No","No","5","No","","No","Yea but no Therapy"
"2020/06/17 3:53:01 pm GMT+5","Female","CE","3-5","Yes","No","6","No","","Yes","Yea but no Therapy"
"2020/06/17 3:53:49 pm GMT+5","Female","SDP","0-2","No","No","10","No","","No","Yea but no Therapy"
"2020/06/17 3:55:26 pm GMT+5","Female","SDP","6-9","No","No","10","No","","Yes","Yea but no Therapy"
"2020/06/17 3:55:41 pm GMT+5","Female","CS","3-5","No","No","9","No","","No","Yea but no Therapy"
"2020/06/17 4:12:40 pm GMT+5","Male","EE","3-5","No","No","7","No","","No","Yea but no Therapy"
